Categoria,Rating,Promedio descargas
Editores de Video,4.6,3013319.0
Editores de Video,4.7,1851405.0
Editores de Video,4.8,1265403.0
Editores de Video,4.9,158236.0
Editores de Video,5.0,63476.0
Educacion,0.0,1054.0
Educacion,1.0,2544.0
Educacion,1.1,9000.0
Educacion,1.2,19441.0
Educacion,1.3,27482.0
Educacion,1.4,32199.0
Educacion,1.5,40885.0
Educacion,1.6,37326.0
Educacion,1.7,35095.0
Educacion,1.8,23679.0
Educacion,1.9,46169.0
Educacion,2.0,37308.0
Educacion,2.1,48373.0
Educacion,2.2,47807.0
Educacion,2.3,36429.0
Educacion,2.4,45226.0
Educacion,2.5,45112.0
Educacion,2.6,376903.0
Educacion,2.7,53311.0
Educacion,2.8,33787.0
Educacion,2.9,42294.0
Educacion,3.0,33211.0
Educacion,3.1,45469.0
Educacion,3.2,29052.0
Educacion,3.3,49710.0
Educacion,3.4,43071.0
Educacion,3.5,49402.0
Educacion,3.6,65874.0
Educacion,3.7,78031.0
Educacion,3.8,71982.0
Educacion,3.9,92950.0
Educacion,4.0,98241.0
Educacion,4.1,93378.0
Educacion,4.2,106944.0
Educacion,4.3,126743.0
Educacion,4.4,103098.0
Educacion,4.5,164314.0
Educacion,4.6,137930.0
Educacion,4.7,92816.0
Educacion,4.8,46975.0
Educacion,4.9,13004.0
Educacion,5.0,959.0
Educacionales,0.0,1180.0
Educacionales,1.0,1061.0
Educacionales,1.1,7638.0
Educacionales,1.2,600.0
Educacionales,1.3,870.0
Educacionales,1.4,2156.0
Educacionales,1.5,13202.0
Educacionales,1.6,9292.0
Educacionales,1.7,7858.0
Educacionales,1.8,11862.0
Educacionales,1.9,9818.0
Educacionales,2.0,6583.0
Educacionales,2.1,6430.0
Educacionales,2.2,14083.0
Educacionales,2.3,15939.0
Educacionales,2.4,14449.0
Educacionales,2.5,14958.0
Educacionales,2.6,28645.0
Educacionales,2.7,19457.0
Educacionales,2.8,27128.0
Educacionales,2.9,135199.0
Educacionales,3.0,42846.0
Educacionales,3.1,79624.0
Educacionales,3.2,101721.0
Educacionales,3.3,113807.0
Educacionales,3.4,79533.0
Educacionales,3.5,126960.0
Educacionales,3.6,234710.0
Educacionales,3.7,367033.0
Educacionales,3.8,414866.0
Educacionales,3.9,774693.0
Educacionales,4.0,1119216.0
Educacionales,4.1,1699335.0
Educacionales,4.2,1703885.0
Educacionales,4.3,1603295.0
Educacionales,4.4,845065.0
Educacionales,4.5,184974.0
Educacionales,4.6,141417.0
Educacionales,4.7,97533.0
Educacionales,4.8,40301.0
Educacionales,4.9,7863.0
Educacionales,5.0,1741.0
Entretenimiento,0.0,2263.0
Entretenimiento,1.0,12379.0
Entretenimiento,1.1,165497.0
Entretenimiento,1.2,215318.0
Entretenimiento,1.3,250224.0
Entretenimiento,1.4,249273.0
Entretenimiento,1.5,28358.0
Entretenimiento,1.6,728777.0
Entretenimiento,1.7,103717.0
Entretenimiento,1.8,125496.0
Entretenimiento,1.9,64533.0
Entretenimiento,2.0,128063.0
Entretenimiento,2.1,524869.0
Entretenimiento,2.2,77985.0
Entretenimiento,2.3,127374.0
Entretenimiento,2.4,382117.0
Entretenimiento,2.5,129618.0
Entretenimiento,2.6,126289.0
Entretenimiento,2.7,220992.0
